fen	bestmove	score_cp	multipv	suite	split	case_id	random_prefix	takeover_plies	final_ply	worker	attempt
1nba2R2/4k4/7C1/2p1p1p2/2b5P/p1P1P4/P7c/1rN2A2B/9/R1BK1ACN1 w	g0g2	9999	1:g0g2:9999;2:g9d9:9999;3:h7h2:9999;4:g9g8:6382	random_pikafish_takeover	seed	case-000040	70	2	72	4	7
3a1a3/2r1k4/n3b1n1b/p1p1p1pcp/6P2/PcP6/4P3P/B1N1B2CR/5N3/1R1AKA3 w	g5g6	4648	1:g5g6:4648;2:h2g2:4530;3:b0b4:4283;4:h2f2:4270	random_pikafish_takeover	seed	case-000041	32	2	34	1	8
3aka3/2n3C2/4b1R2/p1p5p/P2R2b2/2P1p4/8P/4B3B/4KC1r1/1N3A3 w	g8i8	5396	1:g8i8:5396;2:b0c2:5273;3:b0d1:5180;4:i2g4:5104	random_pikafish_takeover	seed	case-000042	90	2	92	2	8
3aka3/5r3/b2c5/p1p3p2/2P3Cnp/4p1B1P/P5P2/BN2R1C2/3K5/3A1r3 b	f8e8	5608	1:f8e8:5608;2:f8f3:5493;3:g6g5:5123;4:f0f4:4932	random_pikafish_takeover	seed	case-000043	79	2	81	0	9
2b1kCbn1/4a1r2/rC6c/p1p1p1p1p/9/1cP6/P3P1P1P/N8/9/R1BAKABNR b	e8f9	17	1:e8f9:17;2:e9f9:-6;3:a7b7:-1514;4:g8h8:-1559	random_pikafish_takeover	seed	case-000044	21	2	23	3	8
1nnakab2/5R2C/4b4/p1p1p1p1p/3r5/9/P1P3P1P/B6c1/R8/1N1AKAC1c w	a1i1	2416	1:a1i1:2416;2:i8i9:2295;3:a1d1:1846;4:a1h1:1837	random_pikafish_takeover	seed	case-000045	32	2	34	5	8
rn1ak1b1r/1c5c1/3ab1n2/p1p1p1p2/8P/P8/2P1P1P2/N3B4/4AC3/R2K1ABNR b	i9h9	2561	1:i9h9:2561;2:a6a5:2552;3:h8i8:2446;4:b8c8:2335	random_pikafish_takeover	seed	case-000046	25	2	27	4	8
4kabn1/1r1na2cr/b8/1cp3p2/C3p3p/p1C1P3P/P1P3P2/9/1R2A4/2BNKABNR w	e4e5	981	1:e4e5:981;2:a3a4:-32;3:c4d4:-314;4:b1b5:-807	random_pikafish_takeover	seed	case-000047	38	2	40	1	9
2b2ab2/rC1k5/2na4r/p1p1p1p2/1c7/P3P3p/2P3P1P/R1N1BA3/8C/2BAK1RN1 w	b8b7	4081	1:b8b7:4081;2:b8b6:4051;3:i1d1:3894;4:i3i4:3755	random_pikafish_takeover	seed	case-000048	58	2	60	2	9
2ba1nb2/4k4/r1na1r3/2p1p1p1p/p8/2P3P2/PC7/4B3R/2c1C4/1N1AKABN1 b	e8e9	2339	1:e8e9:2339;2:c1c3:2260;3:f9g7:2189;4:f7f3:2161	random_pikafish_takeover	seed	case-000049	47	2	49	0	10
rnbakabn1/ccr6/C8/p1p1p3p/P8/6p2/2P1P2CP/R1N3N1R/4K4/2BA1AB2 w	a2b2	3388	1:a2b2:3388;2:a7a9:3363;3:h3h6:3242;4:h3h0:3136	random_pikafish_takeover	seed	case-000050	30	2	32	3	9
rCb2a1n1/n1r1ak3/2c6/p3p1p1p/6b2/2p1P1P2/PR5cP/N5C1B/4AN3/2BAK3R w	c0e2	3917	1:c0e2:3917;2:g2c2:3702;3:a2c1:3332;4:b3f3:2749	random_pikafish_takeover	seed	case-000051	50	2	52	5	9
2ba1ar2/9/2n1k2Rb/p1p1n1p1p/4p4/1CP3P2/P1c2rN1P/B8/3KA4/3RC1B2 b	e6g7	-1063	1:e6g7:-1063;2:e7e8:-1683;3:g9g7:-2033;4:f3f7:-4940	random_pikafish_takeover	seed	case-000052	49	2	51	4	9
1nbakab1r/3c5/r7n/p1p1p1p1p/7C1/3CP4/P1P3N1P/1c7/9/1NBAKAB1R w	i0i2	-3918	1:i0i2:-3918;2:h5h1:-3933;3:i0h0:-3970;4:h5h2:-3992	random_pikafish_takeover	seed	case-000053	18	2	20	1	10
r1baka3/4n4/n3b2r1/6p2/p1p4Rp/P1PC4P/c3p1P2/2NN4B/1cC3R2/2BAKA3 b	h7h5	3900	1:h7h5:3900;2:e8g9:197;3:h7f7:158;4:b1g1:-578	random_pikafish_takeover	seed	case-000054	67	2	69	2	10
2bC1a3/5kc2/9/p3p4/3P1n3/P3P1Bp1/3R4P/N5p2/5K3/3A2Bc1 b	f8e8	-1972	1:f8e8:-1972;2:g2g1:-1990;3:g8g7:-2459;4:g8g6:-2844	random_pikafish_takeover	seed	case-000055	69	2	71	0	11
4kabr1/4a4/4b1r1n/4n1p1p/p1p6/9/PcP1PCP1P/2N4cB/R8/R1BAKA1N1 b	c5c4	3732	1:c5c4:3732;2:e6d4:3717;3:a5a4:3509;4:g7f7:3506	random_pikafish_takeover	seed	case-000056	29	2	31	5	10
5ab2/r2n1k3/3a4n/2p3p1p/1C2P1bP1/P1PN1N3/8P/3K5/8c/2B1cA2R w	i0i1	1671	1:i0i1:1671;2:f4e6:908;3:d4e6:273;4:f0e1:-48	random_pikafish_takeover	seed	case-000057	78	2	80	3	10
5ab2/3k2C2/nrNab4/2pcp3C/p8/2P3p1P/1c2P4/B2A2N2/6R2/2B2K3 b	d6i6	2386	1:d6i6:2386;2:b3b0:1778;3:d8e8:-1800;4:b7c7:-2142	random_pikafish_takeover	seed	case-000058	85	2	87	4	10
1Cbakab2/r7r/n3c3n/p1p5C/P3p1p2/4P1P2/3Nc3P/7R1/8R/2BAKABN1 w	i6e6	-843	1:i6e6:-843;2:e4e5:-1744;3:i6i4:-2278;4:d3c5:-2918	random_pikafish_takeover	seed	case-000059	36	2	38	1	11
1nbk1a3/2c1a4/r5n1b/p3p1p1p/2p6/1c1C2P2/P1P1P1C1P/2N5N/7R1/2BAKAB2 w	h1b1	484	1:h1b1:484;2:c0e2:181;3:d4d2:113;4:g0e2:148	random_pikafish_takeover	seed	case-000060	44	2	46	2	11
2ba4r/1Rnkan3/2C5b/2p3p1p/9/2C6/r3P3P/3ABK3/7cN/1NBA4R w	b0c2	4442	1:b0c2:4442;2:f2f1:4403;3:c4b4:4131;4:b8c8:4004	random_pikafish_takeover	seed	case-000061	60	2	62	0	12
