fen	bestmove	score_cp	multipv	suite	split	case_id	random_prefix	takeover_plies	final_ply	worker	attempt
2bck1b1r/r4n1R1/5a3/9/2p1p4/P1P2cB1P/4P1P2/9/3RK3N/2BA1AN2 b	c5c4	2176	1:c5c4:2176;2:e5e4:1975;3:d9d8:1821;4:f4i4:1728	random_pikafish_takeover	seed	case-000200	79	2	81	5	34
r1b1kabr1/4a4/2n1c3c/p3p1p2/2p5p/9/P1P1P1P1P/5RN2/1C2K4/RNBA1AB2 w	b1c1	-2871	1:b1c1:-2871;2:f2b2:-2927;3:a0a2:-3072;4:f2d2:-3227	random_pikafish_takeover	seed	case-000201	12	2	14	4	34
Cn3abn1/R3k3r/4b4/6p2/1Cp5p/3c4P/2P3P2/9/2c6/1NBAKABN1 b	b9d8	-4316	1:b9d8:-4316;2:d4d8:-4327	random_pikafish_takeover	seed	case-000202	65	2	67	1	35
2bakab2/3r5/6n1r/2p1p1p2/pC6p/6B2/P1P1c1P1P/N8/R3K4/2BA1A1NR b	g7i6	1422	1:g7i6:1422;2:d8d0:1317;3:e3e5:1238;4:g7e8:1188	random_pikafish_takeover	seed	case-000203	33	2	35	2	35
2bakab2/4r4/1Cn3n2/6p1p/p4r3/2p1p3P/P1P1P1P2/1c5C1/4A1R2/RNB1KABc1 b	b2b1	4221	1:b2b1:4221;2:e4e3:3805;3:e8h8:3771;4:g7e6:3697	random_pikafish_takeover	seed	case-000204	31	2	33	3	35
1n1a5/4kn3/1rC2a3/4p3p/p6R1/4P1c1P/P1P1p3r/N2AB4/5K1c1/R1BA5 b	b7b1	9999	1:b7b1:9999;2:e3e2:5982;3:g4g1:6071;4:i3f3:5837	random_pikafish_takeover	seed	case-000205	89	2	91	0	36
1nbakabn1/8r/1r6c/p2cp3p/6P2/2p5P/P3P4/N3B4/6C1C/R1BAKA1NR b	g9e7	25	1:g9e7:25;2:i8h8:20;3:c9e7:21;4:f9e8:3	random_pikafish_takeover	seed	case-000206	37	2	39	5	35
3a5/4ak3/8r/3nn1p2/p1b1P1C2/P5P1p/1rC6/3AB4/5R3/3AK1BN1 b	e8f7	-190	1:e8f7:-190;2:i7f7:-1436	random_pikafish_takeover	seed	case-000207	73	2	75	4	35
1nbak3r/1r5c1/4ba2n/4p1p1p/p1p6/7C1/c1P1P1P1P/3C4B/3KA4/RNBA3NR w	a0a1	-4251	1:a0a1:-4251;2:d2d8:-4430;3:d2f2:-4526;4:d2e2:-4721	random_pikafish_takeover	seed	case-000208	22	2	24	1	36
1rbaka1nr/8c/n6Cb/2p1p1p2/p7p/3C1c3/P1P1P1P1P/R3B4/3K5/1N1A1ABNR w	d1e1	-2358	1:d1e1:-2358;2:d4e4:-3052;3:h7h1:-3147;4:h7b7:-3601	random_pikafish_takeover	seed	case-000209	24	2	26	2	36
1nb1ka2r/4an3/r3b4/pCp1p1p1p/9/P8/2P1P1PcP/R3BA2C/8R/1c2KABN1 b	h3e3	2850	1:h3e3:2850;2:a7b7:2822;3:i9h9:2651;4:a7d7:2506	random_pikafish_takeover	seed	case-000210	17	2	19	3	36
4k2n1/4aC2r/8b/4p1p1p/p5b2/PCp1P1P2/2P5N/5K2B/3r5/2RA1A1c1 b	i8f8	31996	1:i8f8:31996;2:d1d2:31994;3:i8h8:9999;4:c4b4:9999	random_pikafish_takeover	seed	case-000211	83	2	85	0	37
2ba1a3/1r1k4n/n4c2b/p3p1prp/2p5C/c1P3B1P/P3P1P2/B7N/4K4/R2A1A3 b	a4b4	6044	1:a4b4:6044;2:a4g4:5717;3:f7f5:5639;4:b8b3:5598	random_pikafish_takeover	seed	case-000212	53	2	55	5	36
2ba5/4a4/3r1k2b/6p1c/2p1P4/p1P3P1C/P6rc/4B3N/2C1K4/1R1ANAB2 w	c4c5	-2800	1:c4c5:-2800;2:c1d1:-3477;3:e5f5:-3599;4:i4i7:-3650	random_pikafish_takeover	seed	case-000213	80	2	82	4	36
3a1kbn1/4a2r1/9/p8/2p4c1/P1P1PnN2/9/1R2BA2p/9/1R1A1KB2 b	f4g2	4132	1:f4g2:4132;2:h5h0:4074;3:i2i1:-4;4:i2h2:-567	random_pikafish_takeover	seed	case-000214	89	2	91	1	37
3akabn1/C5rCr/1n7/p1p3p2/2P1p3p/Pc7/6P1P/1R2B4/2N3N2/2BAKAR2 w	a8a7	3359	1:a8a7:3359;2:e2c4:3144;3:b2b4:3066;4:h8h3:3144	random_pikafish_takeover	seed	case-000215	64	2	66	2	37
5ab2/4k2cr/2R2an2/2p1p3p/2C3p2/r8/2P1P1P1P/6NR1/C3K4/2BA1AB2 b	a4a1	-2371	1:a4a1:-2371;2:g7f5:-2858;3:c6c5:-2887;4:g5g4:-3002	random_pikafish_takeover	seed	case-000216	33	2	35	3	37
4r1b1c/3k5/3aba3/4p3c/p3n4/2P6/4P4/B2R1p1N1/9/1NBAKA3 w	d2f2	-2910	1:d2f2:-2910;2:e3e4:-3035;3:b0c2:-3120;4:f0e1:-3432	random_pikafish_takeover	seed	case-000217	80	2	82	0	38
4ka1r1/4a4/6n1b/2p1p1pcp/1Rb6/4P1B2/p1PC2P1P/B8/4A4/R2AK2N1 w	d3a3	4011	1:d3a3:4011;2:h0g2:3975;3:b5b9:3924;4:e1f0:3877	random_pikafish_takeover	seed	case-000218	48	2	50	5	37
2rak1bnr/9/b4a1c1/p1p1p1p1p/9/9/P1P1P1P1P/4C4/1R7/1NBAKABN1 b	f7e8	2440	1:f7e8:2440;2:c9c7:2318;3:h9i7:2227;4:g9e7:2198	random_pikafish_takeover	seed	case-000219	13	2	15	4	37
1r2kab2/4a1C2/3r2n2/n1R1p1p1p/P8/3cP4/2P3P2/6N2/4AK3/1NBA2B2 w	f1f0	-3746	1:f1f0:-3746;2:g2e3:-4312;3:g8g6:-4360;4:a5a6:-4369	random_pikafish_takeover	seed	case-000220	70	2	72	1	38
2bakabn1/6c2/r1c5r/pCp3p1p/4pN1C1/8P/P1P1P1P2/1R7/8R/1NBAKAB2 b	g6g5	-2291	1:g6g5:-2291;2:i7f7:-2414;3:c7e7:-2713;4:g8e8:-3174	random_pikafish_takeover	seed	case-000221	21	2	23	2	38
rn2kab2/4a2r1/4bc3/2p1p4/P5p1p/2P3P2/1c2P3P/R2ABRN2/1C7/2B1KA3 b	g5g4	2682	1:g5g4:2682;2:h8h2:2412;3:h8h5:1928;4:h8h1:1900	random_pikafish_takeover	seed	case-000222	59	2	61	3	38
1cr1k1br1/4a4/n8/2p1p1Pnp/p1b6/2P1PC3/P5N1P/3cB4/9/R1BAKA2R b	h6g8	2509	1:h6g8:2509;2:h6i8:2317;3:h6g4:1880;4:c9d9:1773	random_pikafish_takeover	seed	case-000223	49	2	51	0	39
r1bakabn1/9/n8/2p2cCr1/9/p1P1P1BNp/P5P2/R6C1/N3c1R2/2BAKA3 b	h6h4	-745	1:h6h4:-745;2:a4a3:-2213;3:e1e3:-3062;4:i4h4:-3399	random_pikafish_takeover	seed	case-000224	43	2	45	5	38
2bak4/r3a3r/6n2/C1p5p/p1b6/6P2/P1P1PR2P/1c2K4/9/1NBA1ABNR w	e2e1	-6	1:e2e1:-6;2:g4g5:-61;3:f3f6:-139;4:a6b6:-199	random_pikafish_takeover	seed	case-000225	40	2	42	4	38
r1baka1c1/9/n5R1n/p2r2p2/2PC4p/5cP1P/P1p6/R3BAN2/3K5/1NB2A3 b	f4d4	2777	1:f4d4:2777;2:f4i4:2697;3:i7h5:2671;4:f4e4:2388	random_pikafish_takeover	seed	case-000226	69	2	71	1	39
1rbakabn1/3r5/9/p1p1p2cp/6p2/P4cB2/2P1P1P1P/C3B4/R2N4R/3AKA1N1 b	h9g7	1554	1:h9g7:1554;2:h6h5:1295;3:f4f5:1217;4:h6f6:1172	random_pikafish_takeover	seed	case-000227	25	2	27	2	39
3aka1nr/5r3/bn2b1c2/p3p1p2/1C6p/3c5/P1P1P1P1P/1R4N1B/9/1N1AKA1C1 b	i5i4	4478	1:i5i4:4478;2:f9e8:4472;3:h9i7:4465;4:g6g5:4402	random_pikafish_takeover	seed	case-000228	45	2	47	3	39
1r1ak1bn1/4a4/b1n6/2p1p1p1r/p4c3/C4NP1P/P1PNP4/3AB4/1C7/R1B1KA3 b	b9b1	3889	1:b9b1:3889;2:a5a4:3826;3:i6i4:3572;4:i6h6:3534	random_pikafish_takeover	seed	case-000229	47	2	49	0	40
2b1ka1n1/4ar3/4c3b/2p1p3p/p5p2/3CP3P/P1P3P2/3rB4/C8/R2AKABNR b	d2d4	1206	1:d2d4:1206;2:e7e4:239;3:h9g7:25;4:c6c5:21	random_pikafish_takeover	seed	case-000230	41	2	43	5	39
1c1ak1b1r/2R4C1/2n1ba1Cn/2p1p4/p7p/c3P4/2P3P1P/3AB3N/2N5R/3AK1B2 b	c7a6	-4510	1:c7a6:-4510;2:b9b5:-4514;3:i5i4:-4605;4:b9b1:-4536	random_pikafish_takeover	seed	case-000231	61	2	63	4	39
5abnr/3rk2R1/1cna4c/p1p1C1p1p/2b6/P8/2P1P1P1P/B2R4B/4C4/1N1AKA1N1 b	e8e9	-6381	1:e8e9:-6381;2:e8e7:-31998	random_pikafish_takeover	seed	case-000232	31	2	33	2	40
1C2k1b2/r3a1n2/b4a3/p1p6/4p1P2/n1c5P/P3P4/B1NKc3B/3R2N2/R2A1A1r1 w	d2e2	-2060	1:d2e2:-2060;2:d1a1:-4964;3:b9b8:-5022;4:b9b4:-5050	random_pikafish_takeover	seed	case-000233	76	2	78	1	40
1n2kab1r/4a4/4b3n/1c2p2cp/p1p3p1P/P1P1P1P2/9/4B4/5C3/1R1AKABNR w	i5i6	3139	1:i5i6:3139;2:c4c5:3056;3:i5h5:3051;4:a4a5:2833	random_pikafish_takeover	seed	case-000234	42	2	44	3	40
2b2ab1r/n3k4/r2a5/2p1p1C2/p4n1CP/2B1P2p1/P1P3P2/4B1c2/3NA4/3K1A1N1 b	g2g6	9999	1:g2g6:9999;2:g2h2:6191;3:f5d4:6021;4:i9i5:6021	random_pikafish_takeover	seed	case-000235	69	2	71	0	41
3akabC1/9/br7/p1p1N4/4p2P1/6B2/P1P1P1n1p/3A3C1/R1N6/2BAK4 w	c1d3	5408	1:c1d3:5408;2:c1e2:5325;3:h2h4:4999;4:g4e2:4883	random_pikafish_takeover	seed	case-000236	72	2	74	5	40
3a1abn1/4k4/r1n1b4/2p5c/p5p1C/2P1p1P1p/P1C1P2R1/B2r5/3N5/3K1ABN1 w	h3h9	-4115	1:h3h9:-4115;2:h3h6:-4236;3:f0e1:-4216;4:h3h8:-4332	random_pikafish_takeover	seed	case-000237	62	2	64	4	40
r2a1k1nr/9/b1n2a2b/p5p1p/2p1P4/2P3P2/P7P/R8/1C3NR1c/2BAKABC1 w	g1i1	4493	1:g1i1:4493;2:h0h2:4428;3:c4c5:4420;4:a2f2:4417	random_pikafish_takeover	seed	case-000238	60	2	62	2	41
1nbk1abnr/4a4/r3c4/2C2R2p/p3p1p2/8P/P1P1P1P2/B8/4AC3/1N1AK1BNR w	i0i2	3136	1:i0i2:3136;2:c3c4:3042;3:h0i2:3025;4:b0d1:3006	random_pikafish_takeover	seed	case-000239	48	2	50	1	41
2b1ka3/n3a4/9/p3n3p/1r4b2/2BcP1P1P/1r4C2/2R2A3/9/cN1AK1BN1 b	b3d3	9999	1:b3d3:9999;2:b3g3:9999;3:g5i7:9999;4:b3e3:9999	random_pikafish_takeover	seed	case-000240	83	2	85	3	41
3akabn1/2cn2c1r/4b4/p1r4Cp/2p3p2/2P1P4/P4NP1P/8B/1CN6/1RBAKA2R b	c6h6	2409	1:c6h6:2409;2:c8b8:1743;3:c6b6:1173;4:c6f6:1137	random_pikafish_takeover	seed	case-000241	37	2	39	0	42
3a1a3/rr2k4/3cb3n/1cP3p2/p7p/2R1p1CNP/P5P2/4C2R1/4A4/2BAK1B2 b	b6b2	-5153	1:b6b2:-5153;2:g6g5:-5380;3:e4e3:-5457;4:i7h5:-6140	random_pikafish_takeover	seed	case-000242	47	2	49	5	41
2b1ka1n1/nr2a4/5c2b/2p1c3p/4p1P2/p1B1P4/2P5P/1C3A2N/9/RNBAK1C2 w	b2e2	-417	1:b2e2:-417;2:b2a2:-1368;3:b2c2:-1585;4:b2d2:-1667	random_pikafish_takeover	seed	case-000243	68	2	70	4	41
2bk1c1n1/8r/2na5/2p1p1p1p/p5b2/P5BrP/2P1P1P2/1R3A3/9/2BAK1N1R w	a4a5	-3406	1:a4a5:-3406;2:b2b7:-3406;3:i4i5:-3448;4:b2d2:-3508	random_pikafish_takeover	seed	case-000244	36	2	38	2	42
1nba1abn1/1c2k2cr/r8/p1p5p/4C1p2/6B2/P1P3P1P/R3B4/4A4/1N2KA1NR b	a7b7	1830	1:a7b7:1830;2:i8i7:1770;3:h8g8:1590;4:g5g4:1488	random_pikafish_takeover	seed	case-000245	33	2	35	3	42
n1bakab2/2r6/8n/p5p2/2p1pc2r/1NP3P1c/P3P2R1/1R2BCN2/4K4/2BA1A3 w	c4c5	-2154	1:c4c5:-2154;2:b4a6:-2233;3:e1e0:-2457;4:b4a2:-2618	random_pikafish_takeover	seed	case-000246	58	2	60	1	42
1n2kabr1/4a1r2/b2c2nc1/2C1p3p/2p3p2/9/P1P1P1P1P/3AB1N1C/3N5/R3KABR1 w	i2i6	31	1:i2i6:31;2:a0b0:24;3:d1b2:17;4:h0h4:-3	random_pikafish_takeover	seed	case-000247	32	2	34	0	43
2b1kabRC/1r2a4/n1c3r2/p3p1p1p/2p6/8P/P1P1P1P2/2N1B4/8N/R2AKAB2 w	i9g9	3588	1:i9g9:3588;2:c3c4:2512;3:i1g2:2059;4:g3g4:1958	random_pikafish_takeover	seed	case-000248	30	2	32	5	42
r1Ca5/5k3/2n5b/2p1p3p/pcP1c1p2/PN7/5RP1P/8N/4K1C2/2BA1AB1R b	f8e8	-9999	1:f8e8:-9999;2:e5f5:-9999	random_pikafish_takeover	seed	case-000249	29	2	31	4	42
rnbaka3/5n3/c7b/p1p1p2rp/6p2/5c2P/P1P1P1P2/4B3N/C8/RNBAKA2R b	b9c7	3011	1:b9c7:3011;2:a9a8:2854;3:f4f7:2839;4:a7e7:2803	random_pikafish_takeover	seed	case-000250	31	2	33	2	43
rnba1abnr/4k4/9/p1p3p2/4C2cp/2P3P2/P3P3P/1C6R/R3A4/1cBAK1BN1 b	g6g5	-2645	1:g6g5:-2645;2:h9g7:-2668;3:a9a7:-2920;4:e8e9:-2998	random_pikafish_takeover	seed	case-000251	19	2	21	3	43
1Cb4nr/3rak3/4bc3/p5p2/2p1p3p/P2c2B2/2P1P1P1P/3A3RN/9/R2CK1B2 b	i9i8	-2812	1:i9i8:-2812;2:f7f6:-3670;3:f7g7:-4246;4:f7f4:-4418	random_pikafish_takeover	seed	case-000252	63	2	65	1	43
2bak3r/4a3n/8b/6p1p/pP1Np4/2B3P2/2P5P/B2A5/8R/R3KA3 w	d5b6	4338	1:d5b6:4338;2:i1h1:4096;3:g4g5:4064;4:a2c0:3954	random_pikafish_takeover	seed	case-000253	80	2	82	0	44
1nbak1bn1/1c7/2ra4r/p1p1p1p2/1P5c1/4P3p/P5P2/C1C1B3R/9/RNBAKA1N1 b	c7b7	-36	1:c7b7:-36;2:c7a7:-829;3:b8h8:-2106;4:b8e8:-2106	random_pikafish_takeover	seed	case-000254	17	2	19	5	43
rnbk1abn1/8r/3a3c1/6p1p/2p6/C1P1P4/PC4P1P/3A1K3/9/RNBc2BNR b	i8b8	4209	1:i8b8:4209;2:i8f8:4167;3:c5c4:4220;4:h7e7:3922	random_pikafish_takeover	seed	case-000255	37	2	39	4	43
1nb2kb1r/4a4/6n2/p1p1p1p2/c7p/2PCP3P/P3N1P2/2N6/9/1RBAKrB1R w	e0e1	682	1:e0e1:682	random_pikafish_takeover	seed	case-000256	52	2	54	2	44
1n1aka3/rC7/b3b4/p2nR1prp/2p4c1/P3P1P2/2P5P/3AB4/9/2B1KA2R w	b8b6	-2375	1:b8b6:-2375;2:b8b1:-2706;3:b8b4:-2883;4:b8b3:-3159	random_pikafish_takeover	seed	case-000257	36	2	38	1	44
1nbak1b2/6r2/3a4n/2p1p1c2/8p/r1P1Pp3/6P1P/1R2B1N2/3K5/3A1ABNR w	d1e1	-3765	1:d1e1:-3765;2:b2b1:-4417;3:i0i1:-5029;4:d0e1:-5306	random_pikafish_takeover	seed	case-000258	68	2	70	3	44
rnbakabr1/9/2C3n2/2p1p1p1p/5c1C1/p8/P1P1P1P1P/B8/4A3R/RN1AK1BN1 w	i1h1	-1533	1:i1h1:-1533;2:c7d7:-1616;3:h0i2:-1743;4:c7b7:-1790	random_pikafish_takeover	seed	case-000259	26	2	28	0	45
r1ba1abn1/8C/2n1k4/4p3P/p1p3p2/1Cc1P1P2/P8/B4ANr1/9/RN1K1AB2 b	a9b9	3619	1:a9b9:3619;2:h2g2:3564;3:e7e8:3498;4:c4g4:3535	random_pikafish_takeover	seed	case-000260	59	2	61	5	44
rnbaka1n1/c8/4b4/4pcp1r/8p/PNP3P2/1C2P3P/B5N2/2R1K3R/3A1AB2 b	a8a2	2202	1:a8a2:2202;2:i6h6:2136;3:b9c7:1992;4:a8f8:1913	random_pikafish_takeover	seed	case-000261	73	2	75	4	44
1n1ak4/8n/b8/p1p3p1p/2P1p1b2/4PCP2/P6CP/R1N6/4K1N2/2B2rB1R w	f4f1	6382	1:f4f1:6382;2:h3f3:6261;3:g4g5:6102;4:e4e5:6102	random_pikafish_takeover	seed	case-000262	60	2	62	2	45
3k1a3/4an2r/nrc1b3b/2p3p1p/1c2p2C1/P1B3P2/2P1P3P/1R7/4K3N/1NBA1AR2 w	a4a5	-2193	1:a4a5:-2193;2:b0a2:-2592;3:h5h2:-2747;4:g0h0:-2592	random_pikafish_takeover	seed	case-000263	60	2	62	1	45
1rb2kb2/4a1R1n/nc7/2p3p2/p6rp/P3C4/2p3P1P/4B3N/9/RN1AKAB2 b	h5f5	1394	1:h5f5:1394;2:b7e7:1370;3:a7b5:628;4:h5h1:532	random_pikafish_takeover	seed	case-000264	85	2	87	3	45
rn1a1kb2/6r2/bc3a2n/p1p1p3p/3C2p2/6P1P/PCP1P4/N5R2/4K1N2/R1BA1AB2 w	g4g5	3015	1:g4g5:3015;2:i4i5:2540;3:d5f5:2457;4:g1i2:2443	random_pikafish_takeover	seed	case-000265	52	2	54	0	46
2b1kab2/1r7/n2a2c1n/4p1p1p/1Cp6/1c2P3P/P1P3P2/N1C1r3B/4AR3/R3KA1N1 b	e2c2	4138	1:e2c2:4138;2:b8b5:3916;3:g7e7:3793;4:a7b5:3654	random_pikafish_takeover	seed	case-000266	45	2	47	5	45
2rak2nr/3na4/1c2b3b/p3p4/2P3p2/5C2p/P2cP1P1P/4B1N2/R3A4/1NB1KAR2 w	a1c1	-2543	1:a1c1:-2543;2:f4e4:-2560;3:a1d1:-2621;4:g3g4:-2670	random_pikafish_takeover	seed	case-000267	30	2	32	4	45
4kc2n/n8/5R2b/2p1p2P1/p1b6/4r4/P5P2/3cN3B/4A4/RNBAK4 w	e1d2	3885	1:e1d2:3885;2:b0a2:3227;3:g3g4:3050;4:f7d7:3272	random_pikafish_takeover	seed	case-000268	90	2	92	2	46
1r1c1ab2/4k4/b2a1Cn2/pn1Pp1p1p/9/P3P1B1P/2N3Pr1/R8/2C1K4/R1BA1A3 w	a0b0	2121	1:a0b0:2121;2:a2b2:2225;3:a2g2:2125;4:f7a7:2108	random_pikafish_takeover	seed	case-000269	68	2	70	1	46
2baka3/n7n/9/5C3/P1rC4p/1Rpp1p3/2N1r4/3c2N2/2R1A4/2BAK1B2 b	e3g3	1011	1:e3g3:1011;2:e3e5:594;3:e3e7:116;4:c4b4:62	random_pikafish_takeover	seed	case-000270	89	2	91	3	46
rnbak1bn1/1r2a4/8c/p1p1p4/6p1p/P3c1P2/2P5P/BCNC5/4A2R1/R3KABN1 w	g0e2	-24	1:g0e2:-24;2:e0d0:-33;3:d2e2:-1375;4:e1d0:-1602	random_pikafish_takeover	seed	case-000271	30	2	32	0	47
1n1a1ab2/4k1c2/b7n/p3r1p2/2P4r1/4P3p/P8/R8/2N1A1N1c/R1BAKCB2 b	h5h1	3344	1:h5h1:3344;2:e8e9:3271;3:e6f6:2986;4:b9d8:2978	random_pikafish_takeover	seed	case-000272	59	2	61	5	46
1n1ak1br1/5C3/b3ca3/pP2p4/5R3/1c1r5/P3P1PpP/R1N2C2B/9/2BAKA3 b	d4c4	-2283	1:d4c4:-2283;2:d4d6:-2501;3:d4h4:-2568;4:d4d8:-2646	random_pikafish_takeover	seed	case-000273	47	2	49	4	46
rnbak3r/4a4/1c2b1nC1/p1p1pCp1p/9/3c5/P1P1P1P1P/8N/4K4/RNBA1AB1R b	c6c5	910	1:c6c5:910;2:g6g5:777;3:i6i5:548;4:b9a7:544	random_pikafish_takeover	seed	case-000274	13	2	15	2	47
C2a1ar2/3rk4/7n1/p1p3p2/4p1b1p/P1P1P3C/c5P1P/B1N2A3/2R2R3/4K1Bc1 w	g0i2	656	1:g0i2:656;2:e0e1:-5;3:f1f0:-2865	random_pikafish_takeover	seed	case-000275	60	2	62	1	47
2b1kabn1/9/5a3/p3n1p1p/2P1p3P/4PrBR1/PcC3P2/N5N2/4A4/2BAK2R1 w	c3e3	4235	1:c3e3:4235;2:e4e5:4166;3:c3c9:4184;4:c5c6:4149	random_pikafish_takeover	seed	case-000276	58	2	60	3	47
1n1akab2/9/r1c1b2nr/9/p4C1C1/2pp2P2/P6c1/5A2B/5N2R/1NBRKA3 b	c7d7	3915	1:c7d7:3915;2:h7f6:3714;3:i7i3:3667;4:a7b7:3654	random_pikafish_takeover	seed	case-000277	75	2	77	0	48
2b2C3/3k5/2r2C2n/2n1p1N2/2p3b1p/6R2/P1P1P3P/B1c6/9/1N1AKAB2 b	i7g6	-2403	1:i7g6:-2403;2:c7f7:-2596;3:c2c0:-3044;4:c2b2:-3480	random_pikafish_takeover	seed	case-000278	83	2	85	5	47
1n1k1abR1/r3a1r2/b8/p8/P1p3pc1/2Pp2P2/8P/NC1A5/4K4/1CB3BN1 b	h5i5	2415	1:h5i5:2415;2:d4d3:2156;3:h5h8:2056;4:b9c7:1648	random_pikafish_takeover	seed	case-000279	65	2	67	4	47
2bCkabn1/r8/1cc5r/2p1p1p2/p7p/9/P1P1P1P1P/6N1B/1RR6/1NBAKA1C1 b	a8b8	-2601	1:a8b8:-2601;2:b7b0:-2652;3:a8a7:-2735;4:b7b8:-2853	random_pikafish_takeover	seed	case-000280	17	2	19	2	48
1nbakabnr/9/2r6/p1pc2p2/4p3p/P1P6/4P1P1P/2R6/2C1A2C1/1NBAK1BNc b	c7h7	4075	1:c7h7:4075;2:c7b7:4116;3:i5i4:4025;4:d6e6:3969	random_pikafish_takeover	seed	case-000281	25	2	27	1	48
2ba1a1nr/5k3/7cb/2p1pcp2/p8/P5p2/2P1P1P1P/R4R2B/3CA4/1rB1KA1N1 b	f6f7	136	1:f6f7:136;2:h7h6:11;3:b0c0:3;4:g4f4:-4	random_pikafish_takeover	seed	case-000282	41	2	43	3	48
1nba1abnr/4k4/5c3/p1p3p1p/4p4/8C/P1P1P1P1P/3r4N/5K1c1/1NBACAB1R w	f0e1	-3813	1:f0e1:-3813;2:i4i9:-3927;3:i0h0:-3934;4:e0e2:-4003	random_pikafish_takeover	seed	case-000283	20	2	22	0	49
rn1akab1r/9/4C2C1/p3p3n/3R2pP1/2p5p/P1c1P3P/R1N5N/9/2BAKAB2 w	e7b7	2554	1:e7b7:2554;2:e7d7:2549;3:e7f7:2461;4:i3i4:1839	random_pikafish_takeover	seed	case-000284	36	2	38	5	48
1nbakab2/5r2r/6n2/4p1p1p/2p2C2c/p1P2RB2/PN2P1P1P/Rc7/4A4/1NB1KA3 b	a4b4	2602	1:a4b4:2602;2:a4a3:2576;3:i5h5:2455;4:b2b1:2279	random_pikafish_takeover	seed	case-000285	31	2	33	4	48
2ba1a3/4k4/6n2/3r5/CPp1p1R2/2P1P4/8p/4B2NB/c8/3AKA3 b	a1a0	-648	1:a1a0:-648;2:g7i6:-707;3:e5e4:-961;4:e8d8:-1049	random_pikafish_takeover	seed	case-000286	87	2	89	2	49
1n1a1abn1/5k3/bC7/P3p1p2/2p4r1/2P3B1p/4P3P/1R7/3K3C1/2BA1A1NR w	h1f1	5207	1:h1f1:5207;2:h1g1:5111;3:d0e1:5071;4:i0i2:4994	random_pikafish_takeover	seed	case-000287	52	2	54	1	49
1nba1abn1/9/1R2k3r/7r1/p1P3p2/P5P2/4p3p/6N1B/3KA4/2BA5 b	e7e8	3666	1:e7e8:3666;2:b9c7:3593	random_pikafish_takeover	seed	case-000288	59	2	61	3	49
1nC1kab1r/4a4/r8/2p1p1p1n/p7p/9/P1P1c1P1P/6C1B/2c2N3/RNBAKA2R w	f1e3	2671	1:f1e3:2671;2:c9f9:1674;3:b0a2:1011;4:a0a1:6	random_pikafish_takeover	seed	case-000289	26	2	28	0	50
3akab2/r3cr3/n3b3n/p3p2C1/P7p/4P4/N1P3P1P/1c6R/4A2C1/R1BA1KBN1 w	h1f1	12	1:h1f1:12;2:f0e0:-2;3:i2f2:-121;4:h6f6:-2682	random_pikafish_takeover	seed	case-000290	44	2	46	4	49
3akabn1/6c2/2r6/p7p/P1b1C1p2/9/3R2P1P/8B/8N/1cBAKA3 w	d3d8	-1335	1:d3d8:-1335;2:d3b3:-1317;3:i1g2:-1449;4:d3c3:-1888	random_pikafish_takeover	seed	case-000291	64	2	66	2	50
4ka1n1/4a4/4b1r2/p1p6/1RbP2p2/P8/1N7/4BA3/5c1R1/2B1KA2r b	h9i7	1	1:h9i7:1;2:g7f7:1;3:e8d9:0;4:i0i3:0	random_pikafish_takeover	seed	case-000292	75	2	77	5	50
1nba1kbnr/9/3a3C1/2R5p/3r2p2/3CP1P2/2P5P/4B2c1/4A1N2/1NBAK2c1 b	h2g2	3391	1:h2g2:3391;2:h0h7:3262;3:h0d0:2723;4:h0g0:2575	random_pikafish_takeover	seed	case-000293	35	2	37	1	50
1nbakabnr/7C1/7r1/2p1p3c/p5p1p/1cB1P4/P1P1N1P1P/2N4C1/4K4/R2A1AB1R w	h2e2	-932	1:h2e2:-932;2:a0b0:-1192;3:h8b8:-2455;4:c4e2:-2563	random_pikafish_takeover	seed	case-000294	26	2	28	3	51
1nba1a3/4k1C2/6n2/2p1p2rp/p2C2P2/4P4/P1P5P/4B4/r3A4/1NBAK2N1 b	h6h0	5950	1:h6h0:5950;2:c9e7:5741;3:h6h1:5706;4:h6h8:5644	random_pikafish_takeover	seed	case-000295	53	2	55	0	51
rn1ak3r/4a4/b5n2/p1p3p2/2b5p/4p4/P1R1N1P1P/4K3B/1C5C1/2BANA1R1 b	i9h9	-3091	1:i9h9:-3091;2:e4e3:-3146;3:b9d8:-3187;4:i9f9:-3204	random_pikafish_takeover	seed	case-000296	37	2	39	4	50
r1baka3/3r5/n3c3b/2p1p1n1p/9/pNP1P3P/P5P2/R2c5/2C1A2R1/2BAK1BN1 b	d2d3	3221	1:d2d3:3221;2:d2d7:2991;3:d2d1:2857;4:a4b4:2848	random_pikafish_takeover	seed	case-000297	29	2	31	5	51
r1ba1kb1r/4a4/2n3n2/p3p1pCp/2p4c1/9/P2NP1P1P/1C7/3RA4/2B1KABNR w	h0i2	2141	1:h0i2:2141;2:g3g4:2071;3:i0i2:2071;4:e3e4:1987	random_pikafish_takeover	seed	case-000298	22	2	24	1	51
r1b1kabc1/4ar3/2n4C1/p5p1n/2pCN3p/P1B1P1P1P/2P6/4K3B/2R6/3A1A1NR b	f8f0	2450	1:f8f0:2450;2:c7d5:2369;3:f8f4:1973;4:f8f3:1602	random_pikafish_takeover	seed	case-000299	73	2	75	2	51
